pos,score
122344,1
122345,1
122346,-1
122355,1
122356,1
122366,1
122444,1
122445,1
122446,1
122455,1
122456,1
122466,1
122555,1
122556,1
122566,1
122666,1
123333,1
123334,1
123335,1
123336,1
123344,1
123345,1
123346,1
123355,1
123356,-1
123366,1
123444,1
123445,1
123446,1
123455,1
123456,1
123466,1
123555,1
123556,1
123566,1
123666,1
124444,1
124445,1
124446,1
124455,1
124456,-1
124466,1
124555,1
124556,1
124566,1
124666,1
125555,1
125556,-1
125566,1
125666,-1
126666,1
133333,1
133334,1
133335,1
133336,1
133344,1
133345,1
133346,-1
133355,1
133356,1
133366,1
133444,1
133445,1
133446,1
133455,1
133456,1
133466,1
133555,1
133556,1
133566,1
133666,1
134444,1
134445,1
134446,-1
134455,1
134456,1
134466,1
134555,1
134556,-1
134566,1
134666,-1
135555,1
135556,1
135566,1
135666,1
136666,1
144444,1
144445,1
144446,1
144455,1
144456,1
144466,1
144555,1
144556,1
144566,1
144666,1
145555,1
145556,1
145566,1
145666,1
146666,1
155555,1
155556,1
155566,1
155666,1
156666,1
166666,1
222222,-1
222223,1
222224,1
222225,1
222226,1
222233,-1
222234,1
222235,1
222236,1
222244,-1
222245,1
222246,1
222255,-1
222256,1
222266,-1
222333,1
222334,1
222335,1
222336,1
222344,1
222345,-1
222346,1
222355,1
222356,1
222366,1
222444,1
222445,1
222446,1
222455,1
222456,1
222466,1
222555,1
222556,1
222566,1
222666,1
223333,-1
223334,1
223335,1
223336,1
223344,-1
223345,1
223346,1
223355,-1
223356,1
223366,-1
223444,1
223445,1
223446,1
223455,1
223456,1
223466,1
223555,1
223556,1
223566,1
223666,1
224444,-1
224445,1
224446,1
224455,-1
224456,1
224466,-1
224555,1
224556,1
224566,1
224666,1
225555,-1
225556,1
225566,-1
225666,1
226666,-1
233333,1
233334,1
233335,1
233336,1
233344,1
233345,-1
233346,1
233355,1
233356,1
233366,1
233444,1
233445,1
233446,1
233455,1
233456,1
233466,1
233555,1
233556,1
233566,1
233666,1
234444,1
234445,-1
234446,1
234455,1
234456,1
234466,1
234555,-1
234556,1
234566,-1
234666,1
235555,1
235556,1
235566,1
235666,1
236666,1
244444,1
244445,1
244446,1
244455,1
244456,1
244466,1
244555,1
244556,1
244566,1
244666,1
245555,1
245556,1
245566,1
245666,1
246666,1
255555,1
255556,1
255566,1
255666,1
256666,1
266666,1
333333,-1
333334,1
333335,1
333336,1
333344,-1
333345,1
333346,1
333355,-1
333356,1
333366,-1
333444,1
333445,1
333446,1
333455,1
333456,1
333466,1
333555,1
333556,1
333566,1
333666,1
334444,-1
334445,1
334446,1
334455,-1
334456,1
334466,-1
334555,1
334556,1
334566,1
334666,1
335555,-1
335556,1
335566,-1
335666,1
336666,-1
344444,1
344445,1
344446,1
344455,1
344456,1
344466,1
344555,1
344556,1
344566,1
344666,1
345555,1
345556,1
345566,1
345666,1
346666,1
355555,1
355556,1
355566,1
355666,1
356666,1
366666,1
444444,-1
444445,1
444446,1
444455,-1
444456,1
444466,-1
444555,1
444556,1
444566,1
444666,1
445555,-1
445556,1
445566,-1
445666,1
446666,-1
455555,1
455556,1
455566,1
455666,1
456666,1
466666,1
555555,-1
555556,1
555566,-1
555666,1
556666,-1
566666,1
666666,-1
666666,-1
